time_period,location,heatwave,population,rainfall,mean_temperature,heatwave_days,mean_heat_index,max_heat_index,heatwave_event_count
2024-W01,location_0,,100000,121.52044576258571,25.759090790367885,0,82.0,88.0,0
2024-W02,location_0,,100000,120.2678951923336,24.779135351791876,0,82.0,88.0,0
2024-W03,location_0,,100000,133.74478878230892,26.838484715555563,0,82.0,88.0,0
2024-W04,location_0,,100000,120.59479232099315,26.689046142137606,0,82.0,88.0,0
2024-W01,location_1,,110000,119.1788889437201,24.837422754132582,0,82.0,88.0,0
2024-W02,location_1,,110000,127.25170532601793,25.52639621900703,0,82.0,88.0,0
2024-W03,location_1,,110000,111.82037316563678,26.31138613427734,0,82.0,88.0,0
2024-W04,location_1,,110000,128.45185388338396,26.493688099563233,0,82.0,88.0,0
2024-W01,location_2,,120000,105.9607284814725,25.480217173193076,0,82.0,88.0,0
2024-W02,location_2,,120000,114.41192918337508,25.507786752649203,0,82.0,88.0,0
2024-W03,location_2,,120000,128.6737609884226,25.758572844920103,0,82.0,88.0,0
2024-W04,location_2,,120000,130.9802672016227,26.87443915214693,0,82.0,88.0,0
2024-W01,location_3,,130000,113.97207842928952,25.145596200722036,0,82.0,88.0,0
2024-W02,location_3,,130000,129.87342725879313,24.850212402412463,0,82.0,88.0,0
2024-W03,location_3,,130000,122.01449736043799,26.93957289700586,0,82.0,88.0,0
2024-W04,location_3,,130000,121.39490211024369,26.187061444556058,0,82.0,88.0,0
2024-W01,location_4,,140000,114.5321099241441,25.550582523511583,0,82.0,88.0,0
2024-W02,location_4,,140000,124.51502861441732,25.88514981204485,0,82.0,88.0,0
2024-W03,location_4,,140000,129.11048708473285,26.27857944232252,0,82.0,88.0,0
2024-W04,location_4,,140000,134.33902257098458,26.07976713435819,0,82.0,88.0,0
2024-W01,location_5,,150000,132.20398569774974,25.768469017016447,0,82.0,88.0,0
2024-W02,location_5,,150000,124.3274182050753,25.6893078953196,0,82.0,88.0,0
2024-W03,location_5,,150000,127.97785424218561,26.68318079762354,0,82.0,88.0,0
2024-W04,location_5,,150000,122.25304310195544,27.53102710325842,0,82.0,88.0,0
