time_period,location,heatwave,population,rainfall,mean_temperature,heatwave_days,mean_heat_index,max_heat_index,heatwave_event_count
2022-W01,location_0,0,100000,128.07715880684648,25.552580203778795,0,82.0,88.0,0
2022-W02,location_0,0,100000,126.04582123526176,25.361282311902592,0,82.0,88.0,0
2022-W03,location_0,0,100000,134.35129242618274,26.366995767687047,0,82.0,88.0,0
2022-W04,location_0,0,100000,132.6592185722698,26.022051366464385,0,82.0,88.0,0
2022-W05,location_0,0,100000,136.83643017826302,26.90832792403833,0,82.0,88.0,0
2022-W06,location_0,0,100000,139.7525175421817,27.33859218931479,0,82.0,88.0,0
2022-W07,location_0,0,100000,133.66531237061398,28.07508088287622,0,82.0,88.0,0
2022-W08,location_0,1,100000,145.2542087810759,28.152640661386613,1,83.80295440722824,90.40393920963766,0
2022-W09,location_0,1,100000,131.06133949566058,29.364052315407456,1,83.75676752986,90.34235670648,0
2022-W10,location_0,1,100000,116.87740015686946,29.542338835412647,1,85.26392417755943,92.35189890341258,0
2022-W11,location_0,1,100000,114.85498011491391,29.718269904345068,2,87.27217915733894,95.02957220978524,0
2022-W12,location_0,1,100000,123.2703947499408,30.061188039730396,2,87.43603588736019,95.24804784981359,0
2022-W13,location_0,1,100000,114.2025058280631,30.569226649276498,2,88.94922016267063,97.26562688356084,1
2022-W14,location_0,1,100000,103.25213405906463,30.19089132343982,2,87.1349927017336,94.8466569356448,0
2022-W15,location_0,1,100000,94.82008980900517,31.200028616476736,2,89.20208669037741,97.60278225383655,1
2022-W16,location_0,1,100000,97.46327027639461,31.160373761002578,2,88.05165409825983,96.06887213101311,1
2022-W17,location_0,1,100000,87.55028484349842,30.73106645817582,3,91.34571537149328,100.46095382865771,1
2022-W18,location_0,1,100000,74.16265277142405,30.432800090970055,3,91.81912415205026,101.09216553606703,1
2022-W19,location_0,1,100000,79.47190981696976,31.323566823390053,3,89.85534849367129,98.47379799156172,1
2022-W20,location_0,1,100000,77.32590349801971,30.744518400420755,3,90.48448831215151,99.31265108286868,1
